date,warehouse_id,product_id,current_stock,temperature,temp_alert,low_stock_alert,anomaly_score,is_anomaly
2024-01-07,W01,P0030,534,21.90550061989328,0,0,1,0
2024-01-14,W01,P0030,180,22.91321489174482,0,0,1,0
2024-01-21,W01,P0030,757,24.891958139895216,0,0,1,0
2024-01-28,W01,P0030,674,20.847275583676133,0,0,1,0
2024-02-04,W01,P0030,353,21.331371481548143,0,0,1,0
2024-02-11,W01,P0030,885,21.45616940212536,0,0,1,0
2024-02-18,W01,P0030,705,24.406091686646505,0,0,1,0
2024-02-25,W01,P0030,907,19.787582987980773,0,0,1,0
2024-03-03,W01,P0030,697,22.68414419324867,0,0,1,0
2024-03-10,W01,P0030,988,18.0399458359176,0,0,-1,1
2024-03-17,W01,P0030,239,22.552014394658297,0,0,1,0
2024-03-24,W01,P0030,932,21.17024245376576,0,0,1,0
2024-03-31,W01,P0030,653,20.09623226248173,0,0,1,0
2024-04-07,W01,P0030,776,19.747279746970644,0,0,1,0
2024-04-14,W01,P0030,648,21.281475525506327,0,0,1,0
2024-04-21,W01,P0030,655,20.917788277721744,0,0,1,0
2024-04-28,W01,P0030,737,22.315480328687595,0,0,1,0
2024-05-05,W01,P0030,369,19.63264413129093,0,0,1,0
2024-05-12,W01,P0030,100,20.899440310492032,0,0,1,0
2024-05-19,W01,P0030,161,23.533615704232325,0,0,1,0
2024-05-26,W01,P0030,771,21.639299982862138,0,0,1,0
2024-06-02,W01,P0030,569,20.137531256955302,0,0,1,0
2024-06-09,W01,P0030,149,20.95916895251831,0,0,1,0
2024-06-16,W01,P0030,913,20.688863900432505,0,0,1,0
2024-06-23,W01,P0030,755,19.10052133149549,0,0,1,0
2024-06-30,W01,P0030,855,24.00335320634888,0,0,1,0
2024-07-07,W01,P0030,302,19.455933142091684,0,0,1,0
2024-07-14,W01,P0030,99,20.416124798531808,0,1,1,0
2024-07-21,W01,P0030,462,23.4442543872514,0,0,1,0
2024-07-28,W01,P0030,988,21.59602227689897,0,0,1,0
