transaction_id,date,product_id,warehouse_id,quantity_ordered,quantity_fulfilled,year,month,quarter,day_of_week,week_of_year,unit_price,unit_cost,category,revenue,cost,profit,stockout_flag,fulfillment_rate
TRX000001,2023-01-17,P0048,W01,37,37,2023,1,1,Tuesday,3,529.42,336.3,Industrial,19588.54,12443.1,7145.439999999997,0,1.0
TRX000002,2023-06-07,P0028,W06,28,28,2023,6,2,Wednesday,23,327.95,145.24,Furniture,9182.6,4066.72,5115.88,0,1.0
TRX000003,2024-04-21,P0018,W05,15,15,2024,4,2,Sunday,16,333.79,170.0,Industrial,5006.85,2550.0,2456.8500000000004,0,1.0
TRX000004,2024-06-01,P0024,W06,20,20,2024,6,2,Saturday,22,511.67,274.45,Electronics,10233.4,5489.0,4744.4,0,1.0
TRX000005,2023-04-09,P0013,W07,13,13,2023,4,2,Sunday,14,724.58,422.72,Industrial,9419.54,5495.360000000001,3924.18,0,1.0
TRX000006,2025-11-26,P0033,W09,20,20,2025,11,4,Wednesday,48,344.13,203.49,Food,6882.6,4069.8,2812.8,0,1.0
TRX000007,2023-10-07,P0010,W10,43,43,2023,10,4,Saturday,40,276.59,111.89,Industrial,11893.37,4811.27,7082.099999999999,0,1.0
TRX000008,2024-05-11,P0007,W10,31,31,2024,5,2,Saturday,19,146.74,99.3,Apparel,4548.9400000000005,3078.3,1470.6400000000008,0,1.0
TRX000009,2023-10-29,P0037,W06,18,18,2023,10,4,Sunday,43,616.15,358.56,Apparel,11090.7,6454.08,4636.619999999999,0,1.0
TRX000010,2023-06-30,P0032,W06,41,41,2023,6,2,Friday,26,506.71,217.47,Food,20775.11,8916.27,11858.84,0,1.0
TRX000011,2024-08-29,P0045,W03,48,48,2024,8,3,Thursday,35,88.01,56.75,Furniture,4224.4800000000005,2724.0,1500.4800000000005,0,1.0
TRX000012,2024-11-30,P0022,W08,28,28,2024,11,4,Saturday,48,674.12,423.82,Industrial,18875.36,11866.96,7008.4000000000015,0,1.0
TRX000013,2025-09-19,P0016,W09,47,47,2025,9,3,Friday,38,898.94,464.06,Furniture,42250.18,21810.82,20439.36,0,1.0
TRX000014,2023-07-10,P0024,W01,4,4,2023,7,3,Monday,28,511.67,274.45,Electronics,2046.68,1097.8,948.88,0,1.0
TRX000015,2023-09-10,P0014,W06,24,24,2023,9,3,Sunday,36,474.86,230.38,Furniture,11396.64,5529.12,5867.52,0,1.0
TRX000016,2025-09-07,P0011,W07,44,44,2025,9,3,Sunday,36,516.76,288.17,Food,22737.44,12679.48,10057.959999999995,0,1.0
TRX000017,2025-07-16,P0019,W08,45,45,2025,7,3,Wednesday,29,582.29,289.52,Electronics,26203.05,13028.4,13174.65,0,1.0
TRX000018,2023-05-08,P0023,W10,9,9,2023,5,2,Monday,19,851.61,376.19,Food,7664.49,3385.71,4278.78,0,1.0
TRX000019,2023-01-18,P0034,W08,47,47,2023,1,1,Wednesday,3,240.6,153.81,Electronics,11308.2,7229.07,4079.129999999999,0,1.0
TRX000020,2024-07-19,P0040,W07,32,32,2024,7,3,Friday,29,824.37,463.89,Furniture,26379.84,14844.48,11535.36,0,1.0
TRX000021,2024-07-23,P0013,W08,32,32,2024,7,3,Tuesday,30,724.58,422.72,Industrial,23186.56,13527.04,9659.52,0,1.0
TRX000022,2024-11-16,P0039,W09,39,39,2024,11,4,Saturday,46,745.39,306.92,Electronics,29070.21,11969.88,17100.329999999998,0,1.0
TRX000023,2024-09-17,P0044,W10,21,21,2024,9,3,Tuesday,38,502.42,230.23,Furniture,10550.82,4834.83,5715.99,0,1.0
TRX000024,2025-05-03,P0028,W07,44,44,2025,5,2,Saturday,18,327.95,145.24,Furniture,14429.8,6390.56,8039.239999999999,0,1.0
TRX000025,2025-08-19,P0040,W03,42,42,2025,8,3,Tuesday,34,824.37,463.89,Furniture,34623.54,19483.38,15140.16,0,1.0
TRX000026,2023-06-04,P0016,W09,39,39,2023,6,2,Sunday,22,898.94,464.06,Furniture,35058.66,18098.34,16960.320000000003,0,1.0
TRX000027,2024-05-04,P0050,W01,46,46,2024,5,2,Saturday,18,358.43,144.61,Food,16487.78,6652.06,9835.719999999998,0,1.0
TRX000028,2025-02-23,P0028,W08,27,27,2025,2,1,Sunday,8,327.95,145.24,Furniture,8854.65,3921.480000000001,4933.169999999999,0,1.0
TRX000029,2023-09-03,P0004,W06,47,47,2023,9,3,Sunday,35,667.66,418.27,Industrial,31380.02,19658.69,11721.329999999998,0,1.0
TRX000030,2025-11-28,P0028,W03,36,36,2025,11,4,Friday,48,327.95,145.24,Furniture,11806.2,5228.64,6577.559999999999,0,1.0
TRX000031,2025-01-28,P0012,W09,8,8,2025,1,1,Tuesday,5,33.95,25.34,Apparel,271.6,202.72,68.88000000000002,0,1.0
TRX000032,2024-06-21,P0016,W06,19,19,2024,6,2,Friday,25,898.94,464.06,Furniture,17079.86,8817.14,8262.720000000001,0,1.0
TRX000033,2025-07-09,P0049,W07,29,29,2025,7,3,Wednesday,28,452.59,299.74,Furniture,13125.11,8692.460000000001,4432.649999999998,0,1.0
TRX000034,2024-02-12,P0036,W02,19,19,2024,2,1,Monday,7,244.02,107.43,Industrial,4636.38,2041.17,2595.21,0,1.0
TRX000035,2024-06-08,P0020,W01,5,5,2024,6,2,Saturday,23,370.5,265.21,Food,1852.5,1326.05,526.45,0,1.0
TRX000036,2025-04-07,P0026,W01,22,22,2025,4,2,Monday,15,859.02,482.98,Apparel,18898.44,10625.56,8272.879999999997,0,1.0
