order_id,order_date,supplier_id,product_id,qty_ordered,delivery_days_actual,supplier_name,country,reliability_score,lead_time_days,expected_delivery_days,delay_days,is_delayed,unit_cost,order_value
PO00001,2023-10-31,S002,P0031,162,17,Supplier_B,India,0.88,8,8,9,1,17.66,2860.92
PO00002,2025-09-25,S001,P0022,478,5,Supplier_A,India,0.96,15,15,-10,0,423.82,202585.96
PO00003,2025-11-09,S003,P0013,267,11,Supplier_C,USA,0.7,17,17,-6,0,422.72,112866.24
PO00004,2023-03-15,S010,P0018,493,9,Supplier_J,USA,0.89,19,19,-10,0,170.0,83810.0
PO00005,2023-01-08,S017,P0027,410,25,Supplier_Q,India,0.95,9,9,16,1,307.45,126054.5
PO00006,2025-05-05,S011,P0008,451,15,Supplier_K,USA,0.77,3,3,12,1,380.13,171438.63
PO00007,2024-02-05,S006,P0038,364,17,Supplier_F,India,0.7,15,15,2,1,397.19,144577.16
PO00008,2025-07-15,S018,P0043,172,9,Supplier_R,Germany,0.89,10,10,-1,0,426.52,73361.44
PO00009,2023-12-01,S007,P0045,464,12,Supplier_G,Japan,0.75,7,7,5,1,56.75,26332.0
PO00010,2023-02-16,S005,P0046,160,23,Supplier_E,USA,0.89,3,3,20,1,191.7,30672.0
PO00011,2024-05-24,S013,P0042,414,21,Supplier_M,Germany,0.77,8,8,13,1,458.33,189748.62
PO00012,2025-11-25,S003,P0045,337,21,Supplier_C,USA,0.7,7,7,14,1,56.75,19124.75
PO00013,2025-05-13,S007,P0001,441,20,Supplier_G,Japan,0.75,5,5,15,1,128.1,56492.1
PO00014,2025-09-06,S010,P0035,165,12,Supplier_J,USA,0.89,9,9,3,1,16.9,2788.4999999999995
PO00015,2025-03-03,S005,P0014,418,16,Supplier_E,USA,0.89,17,17,-1,0,230.38,96298.84
PO00016,2023-07-14,S020,P0007,144,25,Supplier_T,India,0.73,5,5,20,1,99.3,14299.199999999999
PO00017,2025-06-02,S002,P0002,221,8,Supplier_B,India,0.88,3,3,5,1,344.8,76200.8
PO00018,2025-11-18,S004,P0007,388,24,Supplier_D,China,0.73,5,5,19,1,99.3,38528.4
PO00019,2024-08-02,S013,P0007,323,9,Supplier_M,Germany,0.77,5,5,4,1,99.3,32073.899999999998
PO00020,2025-04-01,S010,P0005,430,11,Supplier_J,USA,0.89,17,17,-6,0,94.95,40828.5
PO00021,2023-06-17,S018,P0047,125,10,Supplier_R,Germany,0.89,12,12,-2,0,337.73,42216.25
PO00022,2023-12-17,S020,P0040,257,11,Supplier_T,India,0.73,5,5,6,1,463.89,119219.73
PO00023,2023-05-25,S001,P0008,115,15,Supplier_A,India,0.96,3,3,12,1,380.13,43714.95
PO00024,2025-05-07,S012,P0023,308,15,Supplier_L,Germany,0.91,17,17,-2,0,376.19,115866.52
PO00025,2023-12-11,S013,P0031,237,24,Supplier_M,Germany,0.77,8,8,16,1,17.66,4185.42
PO00026,2024-05-30,S004,P0019,285,5,Supplier_D,China,0.73,6,6,-1,0,289.52,82513.2
PO00027,2023-03-01,S006,P0028,232,19,Supplier_F,India,0.7,4,4,15,1,145.24,33695.68
PO00028,2023-12-25,S009,P0025,256,8,Supplier_I,Germany,0.9,6,6,2,1,297.51,76162.56
PO00029,2025-02-02,S005,P0033,394,23,Supplier_E,USA,0.89,14,14,9,1,203.49,80175.06
PO00030,2025-08-19,S014,P0038,227,14,Supplier_N,Germany,0.79,15,15,-1,0,397.19,90162.13
PO00031,2024-07-17,S002,P0031,335,10,Supplier_B,India,0.88,8,8,2,1,17.66,5916.1
PO00032,2024-03-26,S018,P0007,355,12,Supplier_R,Germany,0.89,5,5,7,1,99.3,35251.5
PO00033,2024-10-30,S016,P0030,211,7,Supplier_P,USA,0.89,15,15,-8,0,90.98,19196.780000000002
PO00034,2025-07-12,S009,P0018,499,28,Supplier_I,Germany,0.9,19,19,9,1,170.0,84830.0
PO00035,2024-08-25,S002,P0012,227,6,Supplier_B,India,0.88,11,11,-5,0,25.34,5752.18
PO00036,2025-02-13,S020,P0004,313,27,Supplier_T,India,0.73,7,7,20,1,418.27,130918.51
PO00037,2023-10-21,S004,P0025,140,23,Supplier_D,China,0.73,6,6,17,1,297.51,41651.4
PO00038,2023-07-25,S007,P0025,211,14,Supplier_G,Japan,0.75,6,6,8,1,297.51,62774.61
PO00039,2023-04-26,S015,P0049,399,23,Supplier_O,India,0.92,17,17,6,1,299.74,119596.26000000001
PO00040,2023-02-13,S005,P0014,392,12,Supplier_E,USA,0.89,17,17,-5,0,230.38,90308.95999999999
PO00041,2024-09-02,S009,P0001,364,22,Supplier_I,Germany,0.9,5,5,17,1,128.1,46628.4
PO00042,2024-08-27,S001,P0015,133,16,Supplier_A,India,0.96,12,12,4,1,203.62,27081.46
PO00043,2024-04-01,S016,P0036,437,20,Supplier_P,USA,0.89,3,3,17,1,107.43,46946.91
