transaction_id,date,product_id,warehouse_id,quantity_ordered,quantity_fulfilled
TRX000001,2023-01-17,P0048,W01,37,37
TRX000002,2023-06-07,P0028,W06,28,28
TRX000003,2024-04-21,P0018,W05,15,15
TRX000004,2024-06-01,P0024,W06,20,20
TRX000005,2023-04-09,P0013,W07,13,13
TRX000006,2025-11-26,P0033,W09,20,20
TRX000007,2023-10-07,P0010,W10,43,43
TRX000008,2024-05-11,P0007,W10,31,31
TRX000009,2023-10-29,P0037,W06,18,18
TRX000010,2023-06-30,P0032,W06,41,41
TRX000011,2024-08-29,P0045,W03,48,48
TRX000012,2024-11-30,P0022,W08,28,28
TRX000013,2025-09-19,P0016,W09,47,47
TRX000014,2023-07-10,P0024,W01,4,4
TRX000015,2023-09-10,P0014,W06,24,24
TRX000016,2025-09-07,P0011,W07,44,44
TRX000017,2025-07-16,P0019,W08,45,45
TRX000018,2023-05-08,P0023,W10,9,9
TRX000019,2023-01-18,P0034,W08,47,47
TRX000020,2024-07-19,P0040,W07,32,32
TRX000021,2024-07-23,P0013,W08,32,32
TRX000022,2024-11-16,P0039,W09,39,39
TRX000023,2024-09-17,P0044,W10,21,21
TRX000024,2025-05-03,P0028,W07,44,44
TRX000025,2025-08-19,P0040,W03,42,42
TRX000026,2023-06-04,P0016,W09,39,39
TRX000027,2024-05-04,P0050,W01,46,46
TRX000028,2025-02-23,P0028,W08,27,27
TRX000029,2023-09-03,P0004,W06,47,47
TRX000030,2025-11-28,P0028,W03,36,36
TRX000031,2025-01-28,P0012,W09,8,8
TRX000032,2024-06-21,P0016,W06,19,19
TRX000033,2025-07-09,P0049,W07,29,29
TRX000034,2024-02-12,P0036,W02,19,19
TRX000035,2024-06-08,P0020,W01,5,5
TRX000036,2025-04-07,P0026,W01,22,22
TRX000037,2025-06-21,P0026,W03,35,35
TRX000038,2023-02-05,P0022,W03,10,10
TRX000039,2024-11-15,P0009,W08,15,15
TRX000040,2023-01-20,P0005,W07,2,2
