order_id,order_date,supplier_id,product_id,qty_ordered,delivery_days_actual
PO00001,2023-10-31,S002,P0031,162,17
PO00002,2025-09-25,S001,P0022,478,5
PO00003,2025-11-09,S003,P0013,267,11
PO00004,2023-03-15,S010,P0018,493,9
PO00005,2023-01-08,S017,P0027,410,25
PO00006,2025-05-05,S011,P0008,451,15
PO00007,2024-02-05,S006,P0038,364,17
PO00008,2025-07-15,S018,P0043,172,9
PO00009,2023-12-01,S007,P0045,464,12
PO00010,2023-02-16,S005,P0046,160,23
PO00011,2024-05-24,S013,P0042,414,21
PO00012,2025-11-25,S003,P0045,337,21
PO00013,2025-05-13,S007,P0001,441,20
PO00014,2025-09-06,S010,P0035,165,12
PO00015,2025-03-03,S005,P0014,418,16
PO00016,2023-07-14,S020,P0007,144,25
PO00017,2025-06-02,S002,P0002,221,8
PO00018,2025-11-18,S004,P0007,388,24
PO00019,2024-08-02,S013,P0007,323,9
PO00020,2025-04-01,S010,P0005,430,11
PO00021,2023-06-17,S018,P0047,125,10
PO00022,2023-12-17,S020,P0040,257,11
PO00023,2023-05-25,S001,P0008,115,15
PO00024,2025-05-07,S012,P0023,308,15
PO00025,2023-12-11,S013,P0031,237,24
PO00026,2024-05-30,S004,P0019,285,5
PO00027,2023-03-01,S006,P0028,232,19
PO00028,2023-12-25,S009,P0025,256,8
PO00029,2025-02-02,S005,P0033,394,23
PO00030,2025-08-19,S014,P0038,227,14
PO00031,2024-07-17,S002,P0031,335,10
PO00032,2024-03-26,S018,P0007,355,12
PO00033,2024-10-30,S016,P0030,211,7
PO00034,2025-07-12,S009,P0018,499,28
PO00035,2024-08-25,S002,P0012,227,6
PO00036,2025-02-13,S020,P0004,313,27
PO00037,2023-10-21,S004,P0025,140,23
PO00038,2023-07-25,S007,P0025,211,14
PO00039,2023-04-26,S015,P0049,399,23
PO00040,2023-02-13,S005,P0014,392,12
PO00041,2024-09-02,S009,P0001,364,22
PO00042,2024-08-27,S001,P0015,133,16
PO00043,2024-04-01,S016,P0036,437,20
PO00044,2025-10-01,S014,P0014,374,13
PO00045,2025-02-20,S010,P0039,149,12
PO00046,2025-02-21,S007,P0010,436,8
PO00047,2023-06-12,S016,P0011,184,13
PO00048,2023-01-11,S011,P0016,115,5
PO00049,2025-01-02,S008,P0050,402,15
PO00050,2023-02-14,S001,P0002,439,14
PO00051,2025-03-02,S007,P0032,342,13
PO00052,2024-06-27,S006,P0004,393,28
PO00053,2023-12-17,S011,P0037,166,28
PO00054,2023-05-07,S018,P0020,429,5
PO00055,2023-09-04,S020,P0018,271,12
PO00056,2024-03-09,S008,P0009,479,21
PO00057,2024-11-26,S016,P0048,290,17
PO00058,2023-09-22,S017,P0046,113,5
PO00059,2023-04-16,S004,P0038,390,6
PO00060,2024-12-30,S015,P0049,253,6
PO00061,2023-10-01,S003,P0018,231,18
PO00062,2025-04-06,S001,P0039,421,25
PO00063,2024-12-07,S016,P0030,484,27
PO00064,2025-04-28,S006,P0048,469,26
PO00065,2024-06-10,S018,P0026,485,8
PO00066,2023-06-12,S005,P0043,153,5
PO00067,2025-10-14,S010,P0030,231,9
PO00068,2025-04-13,S017,P0017,449,8
PO00069,2024-07-22,S019,P0044,423,29
PO00070,2025-04-08,S017,P0014,375,26
PO00071,2023-12-08,S010,P0028,200,9
PO00072,2023-07-29,S007,P0025,186,24
PO00073,2024-09-16,S006,P0032,255,25
PO00074,2024-07-22,S009,P0012,376,7
PO00075,2024-09-16,S011,P0015,324,28
PO00076,2023-10-25,S012,P0047,266,29
PO00077,2024-02-13,S018,P0006,190,5
PO00078,2025-03-12,S006,P0040,490,19
PO00079,2023-03-10,S012,P0002,374,25
PO00080,2024-07-09,S011,P0035,232,20
PO00081,2023-04-02,S016,P0031,299,15
PO00082,2025-04-21,S002,P0045,195,10
PO00083,2023-06-07,S018,P0006,456,23
PO00084,2023-10-11,S013,P0006,466,23
PO00085,2024-09-06,S012,P0050,193,10
PO00086,2025-11-20,S020,P0002,268,28
PO00087,2023-04-05,S013,P0010,269,22
PO00088,2024-06-13,S015,P0026,487,16
PO00089,2025-10-30,S007,P0037,330,14
PO00090,2023-06-09,S002,P0039,105,27
PO00091,2025-05-29,S010,P0044,294,16
PO00092,2025-04-19,S018,P0006,229,21
PO00093,2025-03-24,S019,P0020,248,5
PO00094,2025-09-07,S005,P0021,193,19
PO00095,2023-08-11,S016,P0010,190,16
PO00096,2025-05-10,S009,P0024,346,22
PO00097,2023-05-17,S012,P0015,497,29
PO00098,2025-10-31,S018,P0044,384,9
PO00099,2023-11-23,S013,P0034,243,5
PO00100,2025-04-19,S003,P0038,468,10
PO00101,2024-07-24,S020,P0012,463,6
PO00102,2024-08-01,S003,P0048,223,16
PO00103,2023-03-24,S003,P0030,149,15
PO00104,2025-03-25,S015,P0013,487,13
PO00105,2023-04-22,S018,P0028,305,16
PO00106,2023-10-15,S003,P0017,115,18
PO00107,2024-11-11,S010,P0006,238,11
PO00108,2024-01-30,S011,P0042,290,21
PO00109,2024-10-13,S008,P0002,194,24
PO00110,2023-02-19,S008,P0014,384,5
PO00111,2023-05-01,S010,P0024,393,11
PO00112,2024-11-21,S001,P0001,335,9
PO00113,2023-06-13,S017,P0034,137,9
PO00114,2025-03-08,S013,P0007,191,13
PO00115,2024-02-29,S007,P0010,198,27
PO00116,2023-12-25,S019,P0016,196,8
PO00117,2024-05-04,S014,P0019,322,5
PO00118,2023-11-01,S007,P0026,427,24
PO00119,2025-08-16,S017,P0048,322,12
PO00120,2024-09-18,S015,P0044,467,5
PO00121,2024-11-08,S005,P0047,153,14
PO00122,2025-05-11,S011,P0036,296,11
PO00123,2024-02-21,S001,P0040,201,10
PO00124,2023-03-10,S012,P0042,219,7
PO00125,2024-06-05,S016,P0038,108,14
PO00126,2024-04-12,S001,P0034,410,11
PO00127,2025-08-05,S017,P0028,165,12
PO00128,2024-08-09,S016,P0016,456,6
PO00129,2023-02-20,S015,P0044,169,12
PO00130,2023-10-17,S019,P0023,375,14
PO00131,2025-11-05,S002,P0023,304,26
PO00132,2023-03-09,S016,P0050,177,18
PO00133,2023-02-26,S007,P0045,486,9
PO00134,2025-07-12,S013,P0008,463,17
PO00135,2023-11-26,S001,P0009,460,14
PO00136,2023-08-04,S010,P0026,143,25
PO00137,2023-10-31,S010,P0009,345,27
PO00138,2023-10-20,S020,P0009,252,24
PO00139,2023-09-23,S012,P0039,150,16
PO00140,2024-08-29,S009,P0020,114,14
PO00141,2023-08-16,S014,P0005,205,5
PO00142,2023-06-06,S006,P0014,304,25
PO00143,2023-02-10,S005,P0025,255,11
PO00144,2023-04-24,S012,P0018,286,14
PO00145,2024-09-25,S015,P0032,334,21
PO00146,2024-10-24,S002,P0045,423,9
PO00147,2024-10-02,S001,P0046,189,20
PO00148,2024-09-05,S003,P0047,400,5
PO00149,2025-07-09,S003,P0023,310,14
PO00150,2025-06-09,S014,P0038,292,17
PO00151,2023-12-12,S012,P0015,205,27
PO00152,2023-07-08,S016,P0038,384,21
PO00153,2023-02-01,S013,P0012,255,29
PO00154,2024-12-25,S004,P0017,390,14
PO00155,2025-11-12,S006,P0034,112,23
PO00156,2025-06-07,S005,P0023,113,14
PO00157,2024-02-20,S006,P0036,172,22
PO00158,2024-10-04,S007,P0018,293,12
PO00159,2024-07-09,S020,P0032,344,20
PO00160,2024-11-24,S008,P0040,433,24
PO00161,2024-06-01,S020,P0046,358,7
PO00162,2023-11-22,S010,P0041,103,16
PO00163,2024-03-18,S010,P0026,298,10
PO00164,2024-11-27,S020,P0049,370,21
PO00165,2025-02-20,S011,P0048,279,21
PO00166,2025-11-30,S001,P0016,211,20
PO00167,2024-02-18,S018,P0012,175,20
PO00168,2023-03-19,S011,P0032,116,27
PO00169,2023-06-16,S012,P0022,372,27
PO00170,2023-06-21,S010,P0022,361,12
PO00171,2023-08-18,S017,P0024,278,27
PO00172,2025-02-05,S006,P0029,147,20
PO00173,2023-05-11,S014,P0040,486,25
PO00174,2025-09-30,S018,P0043,111,27
PO00175,2024-06-29,S003,P0035,409,22
PO00176,2024-10-28,S007,P0020,151,27
PO00177,2023-02-12,S010,P0044,261,26
PO00178,2024-10-25,S012,P0013,164,28
PO00179,2023-03-03,S008,P0005,342,17
PO00180,2025-01-02,S013,P0038,488,11
PO00181,2024-08-18,S004,P0018,169,16
PO00182,2023-04-29,S014,P0012,370,27
PO00183,2025-03-18,S008,P0048,417,26
PO00184,2023-01-30,S003,P0030,407,21
PO00185,2024-12-22,S005,P0001,419,17
PO00186,2024-09-04,S001,P0044,467,10
PO00187,2025-04-30,S012,P0031,389,20
PO00188,2025-11-04,S005,P0015,409,18
PO00189,2025-05-04,S013,P0019,107,11
PO00190,2025-03-21,S007,P0046,232,22
PO00191,2024-10-07,S010,P0005,445,23
PO00192,2023-11-02,S018,P0016,300,11
PO00193,2023-10-13,S005,P0043,376,11
PO00194,2025-10-05,S012,P0044,462,21
PO00195,2025-06-06,S011,P0006,442,6
PO00196,2023-10-13,S019,P0010,186,18
PO00197,2025-02-07,S009,P0016,347,15
PO00198,2023-03-15,S011,P0005,447,13
PO00199,2023-06-23,S012,P0044,170,11
PO00200,2023-11-09,S007,P0001,448,7
PO00201,2024-08-13,S007,P0005,315,27
PO00202,2024-10-29,S010,P0012,282,28
PO00203,2023-03-18,S008,P0048,282,12
PO00204,2023-11-03,S013,P0038,120,22
PO00205,2024-01-07,S006,P0037,303,8
PO00206,2023-11-30,S007,P0020,361,29
PO00207,2023-10-12,S010,P0008,484,17
PO00208,2025-11-03,S009,P0008,474,20
PO00209,2024-11-05,S003,P0007,236,25
PO00210,2025-02-11,S011,P0030,141,29
PO00211,2025-02-07,S010,P0044,185,9
PO00212,2025-02-27,S014,P0019,265,5
PO00213,2023-02-05,S004,P0025,100,18
PO00214,2024-06-28,S002,P0015,127,9
PO00215,2024-03-10,S015,P0049,173,18
PO00216,2023-11-01,S020,P0001,192,24
PO00217,2024-12-13,S004,P0025,465,15
PO00218,2024-03-30,S003,P0035,177,5
PO00219,2023-10-01,S014,P0028,219,8
PO00220,2023-10-03,S010,P0021,240,23
PO00221,2024-04-28,S010,P0023,165,11
PO00222,2023-02-22,S005,P0029,165,16
PO00223,2025-06-06,S011,P0033,117,17
PO00224,2025-04-09,S013,P0026,424,29
PO00225,2023-05-28,S020,P0046,423,22
PO00226,2023-10-08,S014,P0013,476,8
PO00227,2023-12-16,S003,P0004,322,14
PO00228,2024-11-21,S003,P0033,359,28
PO00229,2025-07-05,S013,P0010,156,13
PO00230,2024-01-17,S012,P0039,494,25
PO00231,2025-01-08,S008,P0020,421,28
PO00232,2024-02-04,S015,P0038,364,19
PO00233,2025-08-13,S014,P0050,176,19
PO00234,2023-07-16,S008,P0031,219,18
PO00235,2023-12-25,S003,P0013,161,17
PO00236,2025-10-10,S018,P0034,344,26
PO00237,2025-06-07,S012,P0011,499,6
PO00238,2025-10-08,S007,P0027,309,27
PO00239,2023-04-12,S008,P0007,136,14
PO00240,2024-08-05,S003,P0049,384,6
PO00241,2023-04-15,S013,P0015,259,14
PO00242,2024-11-02,S005,P0011,437,11
PO00243,2024-10-17,S016,P0002,446,14
PO00244,2024-12-30,S020,P0011,433,11
PO00245,2024-11-10,S018,P0046,364,5
PO00246,2023-07-01,S018,P0041,453,13
PO00247,2023-12-07,S005,P0045,366,14
PO00248,2025-07-02,S010,P0041,250,19
PO00249,2025-07-31,S005,P0025,252,17
PO00250,2025-02-05,S002,P0015,309,29
PO00251,2023-08-18,S008,P0002,459,26
PO00252,2023-04-23,S001,P0022,362,27
PO00253,2025-05-24,S019,P0010,260,7
